Price,Close,High,Low,Open,Volume
Ticker,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA,DCRA11.SA
Date,,,,,
2023-05-18,6.9867730140686035,7.049646049669421,6.9867730140686035,7.026068099189835,19355
2023-05-19,7.010350704193115,7.057505109431097,6.971054866824292,6.986773501574124,26760
2023-05-22,7.010350704193115,7.057505109431097,6.994632069443282,7.010350704193115,28894
2023-05-23,7.002490043640137,7.049645189338842,6.986772161410977,7.041785873471456,26913
2023-05-24,6.9553375244140625,7.018210569308844,6.923901001966671,7.010351251320543,41751
2023-05-25,6.971053600311279,6.986772232205324,6.947476401975835,6.955335717922857,15636
2023-05-26,7.010350704193115,7.02606858943719,6.947477664205301,7.018210021568032,14680
2023-05-29,7.026069164276123,7.026069164276123,6.955337550632232,7.026069164276123,12312
2023-05-30,7.033926010131836,7.041785325387508,7.010348813870376,7.026066694876164,10542
2023-05-31,7.065361976623535,7.073221291272936,7.018207587738128,7.049644096830232,17873
2023-06-01,7.112518787384033,7.151814620365184,7.033927121421732,7.065363637905517,24378
2023-06-02,7.065361976623535,7.1518129387559455,7.033925467531431,7.11251711501444,35756
2023-06-05,7.128235340118408,7.1360946551485345,7.07322163391859,7.104658144533562,32488
2023-06-06,7.128235340118408,7.151813285208788,7.081080948948716,7.151813285208788,32321
2023-06-07,7.128235340118408,7.1360946551485345,7.081080948948716,7.128235340118407,32593
2023-06-09,7.160130500793457,7.1681041029629196,7.1122904085857925,7.160130500793457,26913
2023-06-12,7.152157783508301,7.192025034644929,7.0963433277551955,7.160130625411972,60959
2023-06-13,7.112290859222412,7.160130954461239,7.088370811602999,7.15215811219117,28803
2023-06-14,7.128237724304199,7.152158533738104,7.064450419956417,7.152158533738104,29884
2023-06-15,7.152157783508301,7.160130625411972,7.0963433277551955,7.128236976583583,35770
2023-06-16,7.168102264404297,7.184049464652897,7.128235024187155,7.152155824560056,26204
2023-06-19,7.168102264404297,7.215943104745739,7.136208624311455,7.184049464652897,34710
2023-06-20,7.184050559997559,7.2398642485687965,7.168103357317505,7.184050559997559,29851
2023-06-21,7.184050559997559,7.25581145124885,7.168103357317505,7.176076958657532,41535
2023-06-22,7.176079750061035,7.215947011864551,7.152159697140834,7.215947011864551,22039
2023-06-23,7.199997425079346,7.207971026887607,7.160130176442558,7.176077380059081,25470
2023-06-26,7.1920247077941895,7.247838400606202,7.160130300010715,7.1920247077941895,38610
2023-06-27,7.168102264404297,7.199995904497138,7.144182224435756,7.1920230647771985,59898
2023-06-28,7.176079750061035,7.231893460343094,7.136212488257519,7.207973407422894,36033
2023-06-29,7.215944766998291,7.215944766998291,7.176077517597398,7.176077517597398,16703
2023-06-30,7.287705898284912,7.327572388563776,7.21594499913566,7.21594499913566,46616
2023-07-03,7.399331569671631,7.415278770404065,7.295677046123964,7.295677046123964,43351
2023-07-04,7.455146789550781,7.502986875929987,7.351492255189886,7.383385899577511,39610
2023-07-05,7.479068279266357,7.534881977638507,7.447174628710184,7.447174628710184,27686
2023-07-06,7.455146789550781,7.495013274731965,7.431225985956716,7.479066832740385,20012
2023-07-07,7.518934726715088,7.526907568196178,7.463120273920285,7.495013921058232,36544
2023-07-10,7.470425128936768,7.518934723477276,7.114690929430475,7.518934723477276,40510
2023-07-11,7.486595630645752,7.5593596406314525,7.4138316206600505,7.470425507967201,33512
2023-07-12,7.4946794509887695,7.543188268924379,7.454254922019922,7.527018919957096,22334
2023-07-13,7.510849952697754,7.518935013939146,7.462340356283284,7.502764891456363,18941
2023-07-14,7.535103797912598,7.599782740904942,7.470424854920252,7.510849387048923,41104
2023-07-17,7.583613872528076,7.599783223786635,7.535104276684662,7.535104276684662,21408
2023-07-18,7.575528621673584,7.624038216302209,7.559359270819941,7.591698743561075,21775
2023-07-19,7.551272392272949,7.615951322186895,7.518932927315976,7.567441739234604,29818
2023-07-20,7.591697692871094,7.599781981662125,7.551273164780964,7.551273164780964,35711
2023-07-21,7.632122993469238,7.704887004540718,7.591699228237437,7.624038703043217,24177
2023-07-24,7.67254638671875,7.680631446974199,7.591698097265607,7.640206916730736,19233
